wals code,name,latitude,longitude,genus,family,subfamily,iso codes
brd,Bardi,-16.5833333333,122.916666667,Nyulnyulan,Australian,,bcj
bre,Breton,48.0,-3.0,Celtic,Indo-European,,bre
brf,Berber (Rif),34.5,-4.0,Berber,Afro-Asiatic,,rif
brh,Brahui,28.5,67.0,Northern Dravidian,Dravidian,,brh
bri,Bribri,9.41666666667,-83.0,Talamanca,Chibchan,,bzd
brj,Burji,5.5,37.8333333333,Eastern Cushitic,Afro-Asiatic,Cushitic,bji
brk,Berik,-2.25,138.833333333,Tor,Tor-Orya,,bkl
brl,Baragaunle,28.8333333333,83.8333333333,Bodic,Sino-Tibetan,Tibeto-Burman,loy
brm,Burmese,21.0,96.0,Burmese-Lolo,Sino-Tibetan,Tibeto-Burman,mya
brn,Burunge,-5.33333333333,36.0,Southern Cushitic,Afro-Asiatic,Cushitic,bds
bro,Broken,-10.1666666667,143.0,Creoles and Pidgins,other,,tcs
brp,Barupu,-3.08333333333,142.083333333,Warapu,Skou,,wra
brr,Bororo,-16.0,-57.0,Bororo,Macro-Ge,,bor
brs,Barasano,-0.166666666667,-70.6666666667,Tucanoan,Tucanoan,,bsn
bru,Bru (Eastern),17.3333333333,106.0,Katuic,Austro-Asiatic,Mon-Khmer,bru
brw,Bru (Western),16.75,104.75,Katuic,Austro-Asiatic,Mon-Khmer,brv
bry,Baruya,-6.91666666667,145.916666667,Angan,Trans-New Guinea,,byr
brz,Birri,5.5,25.1666666667,Bongo-Bagirmi,Nilo-Saharan,Central Sudanic,bvq
bse,Berber (Ayt Seghrouchen Middle Atlas),33.3333333333,-4.66666666667,Berber,Afro-Asiatic,,tzm
bsh,Bushoong,-4.5,21.5,Bantoid,Niger-Congo,Benue-Congo,buf
bsi,Berber (Siwa),29.1666666667,25.5,Berber,Afro-Asiatic,,siz
bsk,Bashkir,53.0,58.0,Turkic,Altaic,,bak
bsl,British Sign Language,52.0,-1.0,Sign Languages,other,,bfi
bsm,Bislama,-16.0,168.0,Creoles and Pidgins,other,,bis
bso,Basque (Souletin),43.5,-1.5,Basque,Basque,,eus
bsq,Basque,43.0,-3.0,Basque,Basque,,eus
bsr,Basari,12.6666666667,-13.0,Northern Atlantic,Niger-Congo,Atlantic,bsc
bth,Bathari,18.0,56.0,Semitic,Afro-Asiatic,,bhm
bti,Betoi,7.16666666667,-71.25,Betoi,Betoi,,
btk,Bontok,17.0833333333,120.916666667,Northern Philippines,Austronesian,,bnc
bto,Batak (Toba),2.5,99.0,Sumatra,Austronesian,,bbc
bua,Burarra,-12.25,134.583333333,Burarran,Australian,,bvr
bub,Bubi,3.5,8.66666666667,Bantoid,Niger-Congo,Benue-Congo,bvb
bud,Buduma,13.5,14.5,Biu-Mandara,Afro-Asiatic,Chadic,bdm
bug,Bugis,-4.0,120.0,Sulawesi,Austronesian,,bug
bui,Buli (in Indonesia),1.0,128.5,South Halmahera - West New Guinea,Austronesian,Eastern Malayo-Polynesian,bzq
buj,Bujeba,3.0,10.1666666667,Bantoid,Niger-Congo,Benue-Congo,nmg
buk,Bukusu,0.75,34.6666666667,Bantoid,Niger-Congo,Benue-Congo,bxk
bul,Bulgarian,42.5,25.0,Slavic,Indo-European,,bul
bum,Buma,-11.6333333333,166.833333333,Oceanic,Austronesian,Eastern Malayo-Polynesian,tkw
bun,Buin,-6.75,155.75,East Bougainville,East Bougainville,,buo
bur,Burushaski,36.5,74.5,Burushaski,Burushaski,,bsk
